Title,Year,Director,Studio,Genre
Rudraksh,2004,Mani Shankar,,Thriller
Run,2004,Jeeva,,"Action, Drama, Romance"
Shaadi Ka Laddoo,2004,Raj Kaushal,,Comedy
Shart: The Challenge,2004,Puri Jagannadh,,"Action, Drama"
Sheen,2004,Ashok Pandit,,Romance
Shikaar,2004,Darshan Bagga,,Drama
Shukriya: Till Death Do Us Apart,2004,Anupam Sinha,,Drama
Silence Please...The Dressing Room,2004,Sanjay Srinivas,,Thriller
Stop!,2004,Ajai Sinha,,"Romance, Drama"
Suno Sasurjee,2004,Vimal Kumar,,"Romance, Comedy"
Swades,2004,Ashutosh Gowarikar,,"Drama, Musical"
Taarzan: The Wonder Car,2004,Abbas Mustan,,"Fantasy,Thriller"
Tauba Tauba,2004,T L V Prasad,,"Drama,Comedy"
Thoda Tum Badlo Thoda Hum,2004,Esmayeel Shroff,,Romance
Tumsa Nahin Dekha: A Love Story,2004,Anurag Basu,,Romance
Uuf Kya Jaadoo Mohabbat Hai,2004,Manoj J. Bhatia,,Romance
Vaastu Shastra,2004,Saurab Narang,,Horror
Veer-Zaara,2004,Yash Chopra,,"Drama, Romance, Family, Musical"
Wajahh: A Reason to Kill,2004,Gautama Adhikari,,Thriller
Woh,2004,Raj N. Sippy,,Thriller
Yeh Lamhe Judaai Ke,2004,Birendra Nath Tiwary,,Drama
Yuva,2004,Mani Ratnam,,Drama

7½ Phere,2005,Ishaan Trvedi,,Comedy
99.9 FM,2005,Sanjay Bhatia,,"Crime,Drama"
Aashiq Banaya Aapne,2005,Aditya Datt,,Thriller
Amavas,2005,Sidharth Srinivasan,,Drama
Anjaane,2005,Harry W. Fernandes,,Thriller
Apaharan,2005,Prakash Jha,,Drama
Bachke Rehna Re Baba,2005,Govind Menon,,Comedy
Barsaat,2005,Suneel Darshan,,Drama
Bewafaa,2005,Dharmesh Darshan,,Drama
Bhagmati,2005,Ashok Kaul,,Romance
Black,2005,Sanjay Leela Bhansali,,Drama
Blackmail,2005,Anil Devgan,,Thriller
Bluffmaster!,2005,Rohan Sippy,,Comedy
Bullet: Ek Dhamaka,2005,Irfan Khan,,Action
Bunty Aur Babli,2005,Shaad Ali,,"Comedy, Crime, Romance, Musical"
Chaahat – Ek Nasha,2005,Jai Prakash,,Romance
Chand Sa Roshan Chehra,2005,Shabah Shamsi,,Romance
Chehraa,2005,Saurabh Shukla,,Thriller
Chetna: The Excitement,2005,Partho Ghosh,, Drama
Chocolate,2005,Vivek Agnihotri,,"Action, Thriller, Suspense"
Chor Mandli,2005,Sanjay Khanna,,Comedy
Classic – Dance of Love,2005,Babbar Subhash,, Thriller
D,2005,Ram Gopal Varma,,"Crime, Drama"
Dansh,2005,Kanika Verma,,Drama
Deewane Huye Paagal,2005,Vikram Bhatt,,"Romance, Comedy"
Dil Jo Bhi Kahey...,2005,Romesh Sharma,,"Family,Drama"
Dosti: Friends Forever,2005,Suneel Darshan,,"Drama, Romance"
Double Cross - Ek Dhoka,2005,Vicky Tejwani,,Comedy
Dreams,2005,Ashish Chanana,,"Romance, Drama"
Dus,2005,Anubhav Sinha,,"Action, Thriller"
Ek Ajnabee,2005,Apoorva Lakhia,,Thriller
Ek Khiladi Ek Haseena,2005,Suparn Verma,,Thriller
Elaan,2005,Vikram Bhatt,,"Action, Drama"
Fareb,2005,Deepak Tijori,,Thriller
Film Star,2005,Tanuja Chandra,,Drama
Fun – Can Be Dangerous Sometimes,2005,Sunjay Zaveri,, Drama
Garam Masala,2005,Priyadarshan,,Comedy
Hanuman,2005,V. G. Samant,,Animation
Hazaaron Khwaishein Aisi,2005,Sudhir Mishra,,Drama
Home Delivery,2005,Sujoy Ghosh,,Comedy
Hum Dum,2005,Kushan Nandy,,Romance
Hum Tum Aur Mom,2005,Ashok Nanda,,Drama
Insan,2005,K. Subash,,"Action, Thriller"
Iqbal,2005,Nagesh Kukunoor,,"Sport, Drama"
Jackpot,2005,Samit Baadkar,,Crime
Jai Chiranjeeva,2005,K. Vijaya Bhaskar,,Drama
Jalwa - Fun in Love,2005,Rajiv S. Ruia,, Drama
James,2005,Rohit Jugraj,,Action
Jo Bole So Nihaal,2005,Rahul Rawail,,"Action, Comedy"
Jurm,2005,Vikram Bhatt,,Thriller
Kaal,2005,Soham Shah,,"Horror, Thriller"
Kalyug,2005,Mohit Suri,,Drama
Karam,2005,Sanjay F. Gupta,,Thriller
Kasak,2005,Rajiv Babbar,,Drama
Khamoshh... Khauff Ki Raat,2005,Deepak Tijori,,Thriller
Kisna: The Warrior Poet,2005,Subhash Ghai,,Drama
""" Khullam Khulla Pyaar Karen """,2005,Harmesh Malhotra,,Comedy
Koi Aap Sa,2005,Partho Mitra,,"Drama, Romance"
Koi Mere Dil Mein Hai,2005,Deepak Ramsay,,Drama
Kuchh Meetha Ho Jaye,2005,Samar Khan,,"Comedy, Drama, Romance"
Kyaa Kool Hai Hum,2005,Sangeeth Sivan,,Comedy
Kyon Ki,2005,Priyadarshan,,"Drama, Romance"
Lucky: No Time for Love,2005,Radhika Rao Vinay Sapru,,Romance
Main Aisa Hi Hoon,2005,Harry Baweja,,Drama
"Main, Meri Patni Aur Woh",2005,Chandan Arora,,"Romance, Comedy"
Maine Gandhi Ko Nahin Mara,2005,Jahnu Barua,,"Drama "
Maine Pyaar Kyun Kiya?,2005,David Dhawan,,Comedy
Mangal Pandey: The Rising,2005,Ketan Mehta,,"Drama, History"
Mashooka,2005,Afzal Ahmed,, Thriller
Mazaa Mazaa,2005,T. L. V. Prasad,,"Comedy, Drama"
Morning Raga,2005,Mahesh Dattan,,Drama
